collected_at,combo_index,corner_targets,match_wall_s,matched_targets,params,reid_estimated_time_s,reid_failures,repaired_targets,score_primary,score_time_s,score_tuple,stable_left,stable_right,stage,survey_detect_wall_s,survey_grouping_time_s,survey_yolo_time_s,target_classes,targets_hit_like,targets_usable,trial,truth_correct,winner_agree_count,winner_agree_rate,chosen_id_correct_nearest,chosen_id_correct_nearest_rate,chosen_id_correct_constellation,chosen_id_correct_constellation_rate,avg_pred_target_error_mm,avg_truth_target_error_mm
2026-04-26T11:36:13,1,0,0.077434,17,{"burst_count": 65, "cluster_radius": 9.0, "crop_half_x": 200, "crop_half_y": 200, "imgsz": null, "min_hits": 1, "point_mode": "box_center"},None,None,16,16,20.990847,[0, -16, 20.990847],21,18,survey,,,,,,,,
2026-04-26T11:37:22,1,0,0.043032,15,{"burst_count": 75, "cluster_radius": 10.0, "crop_half_x": 250, "crop_half_y": 250, "imgsz": null, "iou_weight": 0.4, "match_radius": 50.0, "max_disp": 220.0, "max_y_diff": 25.0, "min_box_iou": 0.12, "min_disp": 5.0, "min_hits": 1, "min_score": 0.08, "point_mode": "box_center"},None,None,16,16,,,,,,,,
2026-04-26T11:37:33,1,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},9.325717,0,None,10,9.325717,[-2, -10,,,,,,,,
2026-04-26T12:31:25,1,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},20.385971,0,None,10,20.385971,[-2, -10, -1.0, -0.9166666666666666, 20.385971],None,None,reid,None,None
2026-04-26T12:31:44,2,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},16.45254,0,None,10,16.45254,[-2, -10, -1.0, -0.9166666666666666, 16.45254],None,None,reid,None,None
2026-04-26T12:32:03,3,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 120.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},17.067698,0,None,10,17.067698,[-2, -10, -1.0, -0.9166666666666666, 17.067698],None,None,reid,None,None
2026-04-26T12:32:25,4,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 150.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},20.543563,0,None,10,20.543563,[-2, -10, -1.0, -0.9166666666666666, 20.543563],None,None,reid,None,None
2026-04-26T12:32:56,5,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 150.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},28.276385,0,None,10,28.276385,[-2, -10, -1.0, -0.9166666666666666, 28.276385],None,None,reid,None,None
2026-04-26T12:33:14,6,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 150.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},15.26383,0,None,10,15.26383,[-2, -10, -1.0, -0.9166666666666666, 15.26383],None,None,reid,None,None
2026-04-26T12:33:59,7,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 180.0, "max_y_diff": 60.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},43.194041,0,None,10,43.194041,[-2, -10, -1.0, -0.9166666666666666, 43.194041],None,None,reid,None,None
