t,x,y,theta,v,w
0.844,0.0000,0.0000,0.0000,0.000,0.000
0.855,0.0000,0.0000,0.0000,0.000,0.000
0.862,0.0000,0.0000,0.0000,0.000,0.000
0.870,0.0000,0.0000,0.0000,0.000,0.000
0.877,0.0000,0.0000,0.0000,0.000,0.000
0.885,0.0000,0.0000,0.0000,0.000,0.000
0.893,0.0000,0.0000,0.0000,0.000,0.000
0.900,0.0000,0.0000,0.0000,0.000,0.000
0.909,0.0000,0.0000,0.0000,0.000,0.000
0.919,0.0000,0.0000,0.0000,0.000,0.000
0.928,0.0000,0.0000,0.0000,0.000,0.000
0.936,0.0000,0.0000,0.0000,0.000,0.000
0.944,0.0000,0.0000,0.0000,0.000,0.000
0.953,0.0000,0.0000,0.0000,0.000,0.000
0.961,0.0000,0.0000,0.0000,0.000,0.000
0.969,0.0000,0.0000,0.0000,0.000,0.000
0.978,0.0000,0.0000,0.0000,0.000,0.000
0.986,0.0000,0.0000,0.0000,0.000,0.000
0.994,0.0000,0.0000,0.0000,0.000,0.000
1.002,0.0000,0.0000,0.0000,0.000,0.000
1.010,0.0000,0.0000,0.0000,0.000,0.000
1.018,0.0000,0.0000,0.0000,0.000,0.000
1.027,0.0000,0.0000,0.0000,0.000,0.000
1.035,0.0000,0.0000,0.0000,0.000,0.000
1.043,0.0000,0.0000,0.0000,0.000,0.000
1.050,0.0000,0.0000,0.0000,0.000,0.000
1.058,0.0000,0.0000,0.0000,0.000,0.000
1.066,0.0000,0.0000,0.0000,0.000,0.000
1.073,0.0000,0.0000,0.0000,0.000,0.000
1.080,0.0000,0.0000,0.0000,0.000,0.000
1.089,0.0000,0.0000,0.0000,0.000,0.000
1.097,0.0000,0.0000,0.0000,0.000,0.000
1.105,0.0000,0.0000,0.0000,0.000,0.000
1.113,0.0000,0.0000,0.0000,0.000,0.000
1.120,0.0000,0.0000,0.0000,0.000,0.000
1.128,0.0000,0.0000,0.0000,0.000,0.000
1.136,0.0000,0.0000,0.0000,0.000,0.000
1.144,0.0000,0.0000,0.0000,0.000,0.000
1.152,0.0000,0.0000,0.0000,0.000,0.000
1.159,0.0000,0.0000,0.0000,0.000,0.000
1.167,0.0000,0.0000,0.0000,0.000,0.000
1.175,0.0000,0.0000,0.0000,0.000,0.000
1.184,0.0000,0.0000,0.0000,0.000,0.000
1.193,0.0000,0.0000,0.0000,0.000,0.000
1.201,0.0000,0.0000,0.0000,0.000,0.000
1.209,0.0000,0.0000,0.0000,0.000,0.000
1.217,0.0000,0.0000,0.0000,0.000,0.000
1.224,0.0000,0.0000,0.0000,0.000,0.000
1.232,0.0000,0.0000,0.0000,0.000,0.000
1.240,0.0000,0.0000,0.0000,0.000,0.000
1.248,0.0000,0.0000,0.0000,0.000,0.000
1.255,0.0000,0.0000,0.0000,0.000,0.000
1.263,0.0000,0.0000,0.0000,0.000,0.000
1.271,0.0000,0.0000,0.0000,0.000,0.000
1.278,0.0000,0.0000,0.0000,0.000,0.000
1.285,0.0000,0.0000,0.0000,0.000,0.000
1.293,0.0000,0.0000,0.0000,0.000,0.000
1.301,0.0000,0.0000,0.0000,0.000,0.000
1.308,0.0000,0.0000,0.0000,0.000,0.000
1.316,0.0000,0.0000,0.0000,0.000,0.000
1.324,0.0000,0.0000,0.0000,0.000,0.000
1.331,0.0000,0.0000,0.0000,0.000,0.000
1.340,0.0000,0.0000,0.0000,0.000,0.000
1.348,0.0000,0.0000,0.0000,0.000,0.000
1.355,0.0000,0.0000,0.0000,0.000,0.000
1.364,0.0000,0.0000,0.0000,0.000,0.000
1.373,0.0000,0.0000,0.0000,0.000,0.000
1.380,0.0000,0.0000,0.0000,0.000,0.000
1.388,0.0000,0.0000,0.0000,0.000,0.000
1.396,0.0000,0.0000,0.0000,0.000,0.000
1.403,0.0000,0.0000,0.0000,0.000,0.000
1.411,0.0000,0.0000,0.0000,0.000,0.000
1.419,0.0000,0.0000,0.0000,0.000,0.000
1.427,0.0000,0.0000,0.0000,0.000,0.000
1.435,0.0000,0.0000,0.0000,0.000,0.000
1.443,0.0000,0.0000,0.0000,0.000,0.000
1.452,0.0000,0.0000,0.0000,0.000,0.000
1.459,0.0000,0.0000,0.0000,0.000,0.000
1.468,0.0000,0.0000,0.0000,0.000,0.000
1.476,0.0000,0.0000,0.0000,0.000,0.000
1.484,0.0000,0.0000,0.0000,0.000,0.000
1.493,0.0000,0.0000,0.0000,0.000,0.000
1.502,0.0000,0.0000,0.0000,0.000,0.000
1.510,0.0000,0.0000,0.0000,0.000,0.000
1.518,0.0000,0.0000,0.0000,0.000,0.000
1.526,0.0000,0.0000,0.0000,0.000,0.000
1.533,0.0000,0.0000,0.0000,0.000,0.000
1.541,0.0000,0.0000,0.0000,0.000,0.000
1.549,0.0000,0.0000,0.0000,0.000,0.000
1.556,0.0000,0.0000,0.0000,0.000,0.000
1.563,0.0000,0.0000,0.0000,0.000,0.000
1.570,0.0000,0.0000,0.0000,0.000,0.000
1.577,0.0000,0.0000,0.0000,0.000,0.000
1.585,0.0000,0.0000,0.0000,0.000,0.000
1.593,0.0000,0.0000,0.0000,0.000,0.000
1.600,0.0000,0.0000,0.0000,0.000,0.000
1.609,0.0000,0.0000,0.0000,0.000,0.000
1.618,0.0000,0.0000,0.0000,0.000,0.000
1.626,0.0000,0.0000,0.0000,0.000,0.000
1.634,0.0000,0.0000,0.0000,0.000,0.000
1.642,0.0000,0.0000,0.0000,0.000,0.000
1.650,0.0000,0.0000,0.0000,0.000,0.000
1.658,0.0000,0.0000,0.0000,0.000,0.000
1.666,0.0000,0.0000,0.0000,0.000,0.000
1.673,0.0000,0.0000,0.0000,0.000,0.000
1.681,0.0000,0.0000,0.0000,0.000,0.000
1.689,0.0000,0.0000,0.0000,0.000,0.000
1.697,0.0000,0.0000,0.0000,0.000,0.000
1.705,0.0000,0.0000,0.0000,0.000,0.000
1.712,0.0000,0.0000,0.0000,0.000,0.000
1.720,0.0000,0.0000,0.0000,0.000,0.000
1.727,0.0000,0.0000,0.0000,0.000,0.000
1.734,0.0000,0.0000,0.0000,0.000,0.000
1.742,0.0000,0.0000,0.0000,0.000,0.000
1.750,0.0000,0.0000,0.0000,0.000,0.000
1.757,0.0000,0.0000,0.0000,0.000,0.000
1.764,0.0000,0.0000,0.0000,0.000,0.000
1.772,0.0000,0.0000,0.0000,0.000,0.000
1.779,0.0000,0.0000,0.0000,0.000,0.000
1.786,0.0000,0.0000,0.0000,0.000,0.000
1.793,0.0000,0.0000,0.0000,0.000,0.000
1.801,0.0000,0.0000,0.0000,0.000,0.000
1.808,0.0000,0.0000,0.0000,0.000,0.000
1.817,0.0000,0.0000,0.0000,0.000,0.000
1.825,0.0000,0.0000,0.0000,0.000,0.000
1.833,0.0000,0.0000,0.0000,0.000,0.000
1.840,0.0000,0.0000,0.0000,0.000,0.000
1.848,0.0000,0.0000,0.0000,0.000,0.000
1.856,0.0000,0.0000,0.0000,0.000,0.000
1.862,0.0000,0.0000,0.0000,0.000,0.000
1.870,0.0000,0.0000,0.0000,0.000,0.000
1.878,0.0000,0.0000,0.0000,0.000,0.000
1.885,0.0000,0.0000,0.0000,0.000,0.000
1.894,0.0000,0.0000,0.0000,0.000,0.000
1.903,0.0000,0.0000,0.0000,0.000,0.000
1.912,0.0000,0.0000,0.0000,0.000,0.000
1.920,0.0000,0.0000,0.0000,0.000,0.000
1.928,0.0000,0.0000,0.0000,0.000,0.000
1.937,0.0000,0.0000,0.0000,0.000,0.000
1.945,0.0000,0.0000,0.0000,0.000,0.000
1.953,0.0000,0.0000,0.0000,0.000,0.000
1.961,0.0000,0.0000,0.0000,0.000,0.000
1.972,0.0000,0.0000,0.0000,0.000,0.000
1.979,0.0000,0.0000,0.0000,0.000,0.000
1.987,0.0000,0.0000,0.0000,0.000,0.000
1.995,0.0000,0.0000,0.0000,0.000,0.000
2.002,0.0000,0.0000,0.0000,0.000,0.000
2.010,0.0000,0.0000,0.0000,0.000,0.000
2.018,0.0000,0.0000,0.0000,0.000,0.000
2.025,0.0000,0.0000,0.0000,0.000,0.000
2.033,0.0000,0.0000,0.0000,0.000,0.000
2.040,0.0000,0.0000,0.0000,0.000,0.000
2.048,0.0000,0.0000,0.0000,0.000,0.000
2.055,0.0000,0.0000,0.0000,0.000,0.000
2.063,0.0000,0.0000,0.0000,0.000,0.000
2.070,0.0000,0.0000,0.0000,0.000,0.000
2.078,0.0000,0.0000,0.0000,0.000,0.000
2.086,0.0000,0.0000,0.0000,0.000,0.000
2.094,0.0000,0.0000,0.0000,0.000,0.000
2.103,0.0000,0.0000,0.0000,0.000,0.000
2.111,0.0000,0.0000,0.0000,0.000,0.000
2.119,0.0000,0.0000,0.0000,0.000,0.000
2.129,0.0000,0.0000,0.0000,0.000,0.000
2.137,0.0000,0.0000,0.0000,0.000,0.000
2.145,0.0000,0.0000,0.0000,0.000,0.000
2.153,0.0000,0.0000,0.0000,0.000,0.000
2.160,0.0000,0.0000,0.0000,0.000,0.000
2.169,0.0000,0.0000,0.0000,0.000,0.000
2.177,0.0000,0.0000,0.0000,0.000,0.000
2.185,0.0000,0.0000,0.0000,0.000,0.000
2.194,0.0000,0.0000,0.0000,0.000,0.000
2.202,0.0000,0.0000,0.0000,0.000,0.000
2.209,0.0000,0.0000,0.0000,0.000,0.000
2.217,0.0000,0.0000,0.0000,0.000,0.000
2.225,0.0000,0.0000,0.0000,0.000,0.000
2.232,0.0000,0.0000,0.0000,0.000,0.000
2.239,0.0000,0.0000,0.0000,0.000,0.000
2.247,0.0000,0.0000,0.0000,0.000,0.000
2.254,0.0000,0.0000,0.0000,0.000,0.000
2.262,0.0000,0.0000,0.0000,0.000,0.000
2.271,0.0000,0.0000,0.0000,0.000,0.000
2.278,0.0000,0.0000,0.0000,0.000,0.000
2.287,0.0000,0.0000,0.0000,0.000,0.000
2.294,0.0000,0.0000,0.0000,0.000,0.000
